id,published_date,title,source,tags,crawl_date,tickers,day_of_week,sentiment_label,sentiment_score,numerical_sentiment,is_positive,is_negative,is_neutral
95648053,2026-05-15,Meta Launches Incognito AI Chat Days After Removing Instagram Encryption,techtimes.com,"('Apps', 'ETF', 'Electronic Frontier Foundation', 'Instagram', 'Llms', 'Meta', 'Software', 'Stock', 'Technology', 'Whatsapp')",2026-05-15,"('goog', 'googl', 'meta', 'meta', 'metv')",5,neutral,0.9055954217910767,0,0,0,1
95648336,2026-05-15,Jim Cramer Says Buy 2 Artificial Intelligence (AI) Stocks Down 24% and 46% Before They Soar,fool.com,"('A2Ea62Bb-A311-40Ed-92A5-89C873314845', 'ETF', 'Investing', 'Meta', 'Shop', 'Stock', 'Technology', 'Technology And Telecom')",2026-05-15,"('meta', 'meta', 'metv', 'shop')",5,negative,0.971172571182251,-1,0,1,0
95646711,2026-05-15,"Daily Open: Trump’s China trip ends, but uncertainty remains",cnbc.com,"('China', 'Consumer Cyclical', 'ETF', 'Financial Services', 'Foreign Policy', 'Industrials', 'Markets', 'Stock', 'Technology', 'Tiingo Top', 'World Markets')",2026-05-15,"('aapl', 'ba', 'baba', 'blk', 'meta', 'meta', 'metv', 'tsla')",5,neutral,0.8490721583366394,0,0,0,1
95651308,2026-05-15,OpenAI may take legal action against Apple over Siri’s ChatGPT integration,fortune.com,"('Anthropic', 'Apple', 'Brainstorm Tech', 'Data Centers', 'ETF', 'Elon Musk', 'Ford Motor', 'Fortune Brainstorm', 'Fortune Tech', 'Gallup', 'Ipos', 'Lenovo', 'Marc Lore', 'Meta', 'Microsoft', 'Microsoft Xbox', 'No Copyright', 'North Korea', 'Openai', 'Sam Altman', 'Spacex', 'Stock', 'Technology', 'Trevor Noah')",2026-05-15,"('meta', 'meta', 'metv', 'msi')",5,negative,0.7666454911231995,-1,0,1,0
95645796,2026-05-15,"The ""Magnificent Seven"" Has Gained $4.8 Trillion Since the Start of April. Here's Why That's a Risk to the S&P 500 and Nasdaq-100.",finance.yahoo.com,"('Communication Services', 'Consumer Cyclical', 'ETF', 'Magnificent Seven', 'Magnificent Seven Stocks', 'Market Cap', 'Nasdaq Composite', 'Nasdaq-100', 'Nvidia', 'S&P 500', 'Stock', 'Technology', 'Unknown Sector')",2026-05-15,"('aapl', 'amzn', 'goog', 'googl', 'intc', 'iqnt', 'meta', 'msft', 'nflx', 'nvda', 'tall', 'tsla')",5,neutral,0.822106122970581,0,0,0,1
95645616,2026-05-15,"The ""Magnificent Seven"" Has Gained $4.8 Trillion Since the Start of April. Here's Why That's a Risk to the S&P 500 and Nasdaq-100.",fool.com,"('Aapl', 'Amzn', 'Consumer Cyclical', 'Consumer Defensive', 'Dpz', 'ETF', 'Ffc4D0E6-Ddad-45A0-B1B8-Bba4E4736811', 'Goog', 'Googl', 'Investing', 'Ko', 'Markets', 'Meta', 'Msft', 'Nvda', 'Rsp', 'Stock', 'Technology', 'Tsla', 'Voo', 'Vtv', '^Gspc', '^Ixic')",2026-05-15,"('aapl', 'amzn', 'dpz', 'goog', 'googl', 'ko', 'meta', 'meta', 'metv', 'msft', 'nvda', 'rsp', 'tsla', 'voo', 'vtv')",5,neutral,0.822106122970581,0,0,0,1
95644346,2026-05-15,WhatsApp Warns iPhone And Android Users: AI Chats Not ‘Truly Private’,forbes.com,"('Apple', 'ETF', 'Gemini', 'Meta', 'Rcs Encryption', 'Stock', 'Technology', 'Whatsapp', 'Whatsapp Ai')",2026-05-15,"('meta', 'meta', 'metv')",5,neutral,0.8261160850524902,0,0,0,1
95644465,2026-05-15,"Virginia Lottery Pick 3 Night, Pick 3 Day results for May 14, 2026",aol.com,"('ETF', 'Fb', 'Stock', 'Technology', 'Unknown Sector', 'Virginia Lottery')",2026-05-15,"('fb', 'meta')",5,neutral,0.9251106381416321,0,0,0,1
95644303,2026-05-15,"Virginia Lottery Pick 3 Night, Pick 3 Day results for May 14, 2026",aol.com,"('ETF', 'Fb', 'Stock', 'Technology', 'Unknown Sector', 'Virginia Lottery')",2026-05-15,"('fb', 'meta')",5,neutral,0.9251106381416321,0,0,0,1
95644280,2026-05-15,"Florida Lottery Fantasy 5, Cash Pop results for May 14, 2026",aol.com,"('ETF', 'Fb', 'Florida Lottery', 'Stock', 'Technology', 'Unknown Sector', 'Winning Fantasy 5 Numbers', 'Winning Pick 3 Numbers', 'Winning Pick 4 Numbers')",2026-05-15,"('fb', 'meta')",5,neutral,0.8960800766944885,0,0,0,1
95645059,2026-05-15,"Florida Lottery Fantasy 5, Cash Pop results for May 14, 2026",aol.com,"('ETF', 'Fb', 'Florida Lottery', 'Stock', 'Technology', 'Unknown Sector', 'Winning Fantasy 5 Numbers', 'Winning Pick 3 Numbers', 'Winning Pick 4 Numbers')",2026-05-15,"('fb', 'meta')",5,neutral,0.8960800766944885,0,0,0,1
95643314,2026-05-15,"Meta's Ray-Ban Display Is Getting Third-Party Apps, Games—What to Expect?",techtimes.com,"('ETF', 'Meta', 'Meta Ray-Ban Display', 'Meta Ray-Ban Display Glasses', 'Meta Ray-Ban Display Third-Party Apps', 'Meta Ray-Ban Display Third-Party Games', 'Meta Smart Glasses', 'Stock', 'Tech', 'Technology')",2026-05-15,"('meta', 'meta', 'metv')",5,neutral,0.9236679077148438,0,0,0,1
95641806,2026-05-15,Daily Open: Trump-Xi summit delivers Wall Street boost,cnbc.com,"('Asia Economy', 'Basic Materials', 'Breaking News: Economy', 'Consumer Cyclical', 'ETF', 'Economy', 'Energy', 'Financial Services', 'Foreign Policy', 'Industrials', 'Stock', 'Technology', 'Tiingo Top', 'Unknown Sector')",2026-05-15,"('aal', 'aapl', 'amzn', 'arkk', 'avgo', 'ba', 'bno', 'cf', 'cop', 'csco', 'cvx', 'dal', 'dbo', 'ewh', 'ewj', 'ews', 'ewu', 'ewy', 'fdn', 'fdx', 'googl', 'gs', 'igv', 'intu', 'ixc', 'kwt', 'kwt', 'lmt', 'mchi', 'meta', 'meta', 'metv', 'mos', 'mrvl', 'msft', 'noc', 'ntr', 'nvda', 'orcl', 'oxy', 'qqq', 'shel', 'shel', 'socl', 'soxx', 'thd', 'tsla', 'tsm', 'tte', 'tte', 'ual', 'uco', 'uga', 'vgk', 'wday', 'xar', 'xlk', 'xom')",5,neutral,0.8006224036216736,0,0,0,1
95641602,2026-05-15,Cerebras Systems Stock Soars 68% in Blockbuster IPO: What Investors Should Know,fool.com,"('Amzn', 'Avgo', 'C770530B-B535-49C9-8D2B-9Cd2Fb93206E', 'Cbrs', 'Consumer Cyclical', 'ETF', 'Investing', 'Meta', 'Mu', 'Nvda', 'Stock', 'Technology', 'Technology And Telecom', 'Tsm', 'Unknown Sector')",2026-05-15,"('amzn', 'avgo', 'cbrs', 'meta', 'meta', 'metv', 'mu', 'nvda', 'tsm')",5,neutral,0.8678162693977356,0,0,0,1
